{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.55, 'ROAM': 'FALSE', 'RSSI': '-44', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:06'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 49.41, 'ROAM': 'FALSE', 'RSSI': '-44', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:07'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 47.8, 'ROAM': 'FALSE', 'RSSI': '-44', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:09'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 50.46, 'ROAM': 'FALSE', 'RSSI': '-44', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:10'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.4, 'ROAM': 'FALSE', 'RSSI': '-44', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:11'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.94, 'ROAM': 'FALSE', 'RSSI': '-44', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:12'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.58, 'ROAM': 'FALSE', 'RSSI': '-43', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:13'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 49.46, 'ROAM': 'FALSE', 'RSSI': '-44', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:14'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 49.26, 'ROAM': 'FALSE', 'RSSI': '-44', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:15'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.02, 'ROAM': 'FALSE', 'RSSI': '-44', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:16'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.77, 'ROAM': 'FALSE', 'RSSI': '-44', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:17'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 53.04, 'ROAM': 'FALSE', 'RSSI': '-44', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:18'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 49.06, 'ROAM': 'FALSE', 'RSSI': '-45', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:19'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 49.09, 'ROAM': 'FALSE', 'RSSI': '-45', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:20'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 47.84, 'ROAM': 'FALSE', 'RSSI': '-45', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:21'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 47.94, 'ROAM': 'FALSE', 'RSSI': '-43', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:22'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 49.02, 'ROAM': 'FALSE', 'RSSI': '-43', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:23'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.71, 'ROAM': 'FALSE', 'RSSI': '-44', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:24'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.71, 'ROAM': 'FALSE', 'RSSI': '-44', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:25'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.47, 'ROAM': 'FALSE', 'RSSI': '-45', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:27'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 55.27, 'ROAM': 'FALSE', 'RSSI': '-48', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:28'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 51.53, 'ROAM': 'FALSE', 'RSSI': '-50', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:29'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.89, 'ROAM': 'FALSE', 'RSSI': '-51', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:30'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 47.95, 'ROAM': 'FALSE', 'RSSI': '-53', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:31'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.89, 'ROAM': 'FALSE', 'RSSI': '-56', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:32'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.77, 'ROAM': 'FALSE', 'RSSI': '-60', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:33'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 49.09, 'ROAM': 'FALSE', 'RSSI': '-64', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:34'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 49.12, 'ROAM': 'FALSE', 'RSSI': '-65', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:35'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 70.13, 'ROAM': 'FALSE', 'RSSI': '-65', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:36'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 47.69, 'ROAM': 'FALSE', 'RSSI': '-65', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:37'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 49.4, 'ROAM': 'FALSE', 'RSSI': '-64', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:38'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.72, 'ROAM': 'FALSE', 'RSSI': '-64', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:39'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 49.02, 'ROAM': 'FALSE', 'RSSI': '-65', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:40'}
